round,pair_idx,i,j,imgA,imgB,scoreA,scoreB,winner,conf,obj_name,dino_scoreA,dino_scoreB,dino_margin,dino_winner,match,clip_scoreA,clip_scoreB,clip_margin,clip_winner,clip_match,vlm_margin,vlm_sign,dino_sign,clip_sign,judge_tag,t2i_dir,model_label
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,42.0,88.0,1,0.78,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_1_0,0.6270788908004761,0.7706303596496582,-0.14355146884918213,1,1,0.8081032037734985,0.8990311622619629,-0.09092795848846436,1,1,-46.0,-1.0,-1.0,-1.0,gpt_5_nano,flux1_fal_duel,Flux1-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,86.0,62.0,0,0.75,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_1_0,0.852917492389679,0.8140056729316711,0.03891181945800781,0,1,0.9277991056442261,0.8453708291053772,0.08242827653884888,0,1,24.0,1.0,1.0,1.0,gpt_5_nano,flux1_fal_duel,Flux1-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,38.0,92.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_1_0,0.6103590130805969,0.8536653518676758,-0.24330633878707886,1,1,0.8429310321807861,0.886616587638855,-0.04368555545806885,1,1,-54.0,-1.0,-1.0,-1.0,gpt_5_nano,flux1_fal_duel,Flux1-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,68.0,62.0,0,0.57,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_1_0,0.6700500249862671,0.7358191609382629,-0.06576913595199585,1,0,0.8045463562011719,0.85798579454422,-0.053439438343048096,1,0,6.0,1.0,-1.0,-1.0,gpt_5_nano,flux1_fal_duel,Flux1-duel
1,5,3,0,round001_pair005_i3_A.png,round001_pair005_j0_B.png,72.0,92.0,1,0.78,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_1_0,0.693756639957428,0.8630198240280151,-0.16926318407058716,1,1,0.7961932420730591,0.9038400650024414,-0.10764682292938232,1,1,-20.0,-1.0,-1.0,-1.0,gpt_5_nano,flux1_fal_duel,Flux1-duel
1,6,3,4,round001_pair006_i3_A.png,round001_pair006_j4_B.png,72.0,92.0,1,0.78,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_1_0,0.6332895159721375,0.8582886457443237,-0.22499912977218628,1,1,0.7376121282577515,0.9118536710739136,-0.1742415428161621,1,1,-20.0,-1.0,-1.0,-1.0,gpt_5_nano,flux1_fal_duel,Flux1-duel
1,7,3,1,round001_pair007_i3_A.png,round001_pair007_j1_B.png,78.0,85.0,1,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_1_0,0.7083680033683777,0.6830459833145142,0.025322020053863525,0,0,0.7419994473457336,0.8369160890579224,-0.09491664171218872,1,1,-7.0,-1.0,1.0,-1.0,gpt_5_nano,flux1_fal_duel,Flux1-duel
1,8,3,5,round001_pair008_i3_A.png,round001_pair008_j5_B.png,55.0,78.0,1,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_1_0,0.6354880928993225,0.8330580592155457,-0.19756996631622314,1,1,0.8016257286071777,0.8820666074752808,-0.08044087886810303,1,1,-23.0,-1.0,-1.0,-1.0,gpt_5_nano,flux1_fal_duel,Flux1-duel
1,9,3,2,round001_pair009_i3_A.png,round001_pair009_j2_B.png,60.0,88.0,1,0.73,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_1_0,0.6767089366912842,0.8288389444351196,-0.15213000774383545,1,1,0.7818238735198975,0.9341498613357544,-0.15232598781585693,1,1,-28.0,-1.0,-1.0,-1.0,gpt_5_nano,flux1_fal_duel,Flux1-duel
1,10,3,4,round001_pair010_i3_A.png,round001_pair010_j4_B.png,62.0,84.0,1,0.72,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_1_0,0.6735068559646606,0.795199453830719,-0.12169259786605835,1,1,0.7445125579833984,0.8730952739715576,-0.12858271598815918,1,1,-22.0,-1.0,-1.0,-1.0,gpt_5_nano,flux1_fal_duel,Flux1-duel
