round,pair_idx,i,j,imgA,imgB,scoreA,scoreB,winner,conf,obj_name,dino_scoreA,dino_scoreB,dino_margin,dino_winner,match,vlm_margin,vlm_sign,dino_sign,judge_tag,t2i_dir,model_label
1,1,3,1,round001_pair001_i3_A.png,round001_pair001_j1_B.png,6.5,8.5,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.6825522780418396,0.3218843936920166,0.360667884349823,0,0,-2.0,-1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,2,4,0,round001_pair002_i4_A.png,round001_pair002_j0_B.png,5.0,8.0,1,0.9,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.8458753824234009,0.672322154045105,0.1735532283782959,0,0,-3.0,-1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,3,2,5,round001_pair003_i2_A.png,round001_pair003_j5_B.png,6.0,8.5,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.7812672257423401,0.7789623737335205,0.00230485200881958,0,0,-2.5,-1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,4,3,2,round001_pair004_i3_A.png,round001_pair004_j2_B.png,5.0,8.0,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.8177146315574646,0.7786257266998291,0.0390889048576355,0,0,-3.0,-1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,5,3,0,round001_pair005_i3_A.png,round001_pair005_j0_B.png,6.0,9.0,1,0.9,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.8310125470161438,0.7025364637374878,0.128476083278656,0,0,-3.0,-1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,6,3,4,round001_pair006_i3_A.png,round001_pair006_j4_B.png,8.0,6.0,0,0.7,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.8628019690513611,0.782032310962677,0.08076965808868408,0,1,2.0,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,7,3,1,round001_pair007_i3_A.png,round001_pair007_j1_B.png,8.0,5.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.844377875328064,0.711637020111084,0.13274085521697998,0,1,3.0,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,8,3,5,round001_pair008_i3_A.png,round001_pair008_j5_B.png,5.5,8.5,1,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.8464770317077637,0.8264268636703491,0.02005016803741455,0,0,-3.0,-1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,9,3,2,round001_pair009_i3_A.png,round001_pair009_j2_B.png,8.5,3.0,0,0.85,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.8529007434844971,0.7813619375228882,0.07153880596160889,0,1,5.5,1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
1,10,3,4,round001_pair010_i3_A.png,round001_pair010_j4_B.png,5.0,9.0,1,0.9,02_A_portrait_photo_of_a_kangaroo_wearing_an_orange_hoodie_and_0_0,0.8253113031387329,0.8004963994026184,0.024814903736114502,0,0,-4.0,-1.0,1.0,gpt_4_1_mini,qwen_image_fal_duel,Qwen-Image-duel
